    U+F900	    U+8C48
U-0002F938	    U+7570
U-0002F939	U-0002219F
U-0002F93A	    U+7610
U-0002F93B	U-00024FA1
U-0002F93C	U-00024FB8
U-0002F93D	U-00025044
U-0002F93E	    U+3FFC
U-0002F93F	    U+4008
U-0002F940	    U+76F4
U-0002F941	U-000250F3
U-0002F942	U-000250F2
U-0002F943	U-00025119
U-0002F944	U-00025133
U-0002F945	    U+771E
U-0002F946	    U+771F
U-0002F947	    U+771F
U-0002F948	    U+774A
U-0002F949	    U+4039
U-0002F94A	    U+778B
U-0002F94B	    U+4046
U-0002F94C	    U+4096
U-0002F94D	U-0002541D
U-0002F94E	    U+784E
U-0002F94F	    U+788C
U-0002F950	    U+78CC
U-0002F951	    U+40E3
U-0002F952	U-00025626
U-0002F953	    U+7956
U-0002F954	U-0002569A
U-0002F955	U-000256C5
U-0002F956	    U+798F
U-0002F957	    U+79EB
U-0002F958	    U+412F
U-0002F959	    U+7A40
U-0002F95A	    U+7A4A
U-0002F95B	    U+7A4F
U-0002F95C	U-0002597C
U-0002F95D	U-00025AA7
U-0002F95E	U-00025AA7
U-0002F95F	    U+7AEE
U-0002F960	    U+4202
U-0002F961	U-00025BAB
U-0002F962	    U+7BC6
U-0002F963	    U+7BC9
U-0002F964	    U+4227
U-0002F965	U-00025C80
U-0002F966	    U+7CD2
U-0002F967	    U+42A0
U-0002F968	    U+7CE8
U-0002F969	    U+7CE3
U-0002F96A	    U+7D00
U-0002F96B	U-00025F86
U-0002F96C	    U+7D63
U-0002F96D	    U+4301
U-0002F96E	    U+7DC7
U-0002F96F	    U+7E02
U-0002F970	    U+7E45
U-0002F971	    U+4334
U-0002F972	U-00026228
U-0002F973	U-00026247
U-0002F974	    U+4359
U-0002F975	U-000262D9
U-0002F976	    U+7F7A
U-0002F977	U-0002633E
U-0002F978	    U+7F95
U-0002F979	    U+7FFA
U-0002F97A	    U+8005
U-0002F97B	U-000264DA
U-0002F97C	U-00026523
U-0002F97D	    U+8060
U-0002F97E	U-000265A8
U-0002F97F	    U+8070
U-0002F980	U-0002335F
U-0002F981	    U+43D5
U-0002F982	    U+80B2
U-0002F983	    U+8103
U-0002F984	    U+440B
U-0002F985	    U+813E
U-0002F986	    U+5AB5
U-0002F987	U-000267A7
U-0002F988	U-000267B5
U-0002F989	U-00023393
U-0002F98A	U-0002339C
U-0002F98B	    U+8201
U-0002F98C	    U+8204
U-0002F98D	    U+8F9E
U-0002F98E	    U+446B
U-0002F98F	    U+8291
U-0002F990	    U+828B
U-0002F991	    U+829D
U-0002F992	    U+52B3
U-0002F993	    U+82B1
U-0002F994	    U+82B3
U-0002F995	    U+82BD
U-0002F996	    U+82E6
U-0002F997	U-00026B3C
U-0002F998	    U+82E5
U-0002F999	    U+831D
U-0002F99A	    U+8363
U-0002F99B	    U+83AD
U-0002F99C	    U+8323
U-0002F99D	    U+83BD
U-0002F99E	    U+83E7
U-0002F99F	    U+8457
U-0002F9A0	    U+8353
U-0002F9A1	    U+83CA
U-0002F9A2	    U+83CC
U-0002F9A3	    U+83DC
U-0002F9A4	U-00026C36
U-0002F9A5	U-00026D6B
U-0002F9A6	U-00026CD5
U-0002F9A7	    U+452B
U-0002F9A8	    U+84F1
U-0002F9A9	    U+84F3
U-0002F9AA	    U+8516
U-0002F9AB	U-000273CA
U-0002F9AC	    U+8564
U-0002F9AD	U-00026F2C
U-0002F9AE	    U+455D
U-0002F9AF	    U+4561
U-0002F9B0	U-00026FB1
U-0002F9B1	U-000270D2
U-0002F9B2	    U+456B
U-0002F9B3	    U+8650
U-0002F9B4	    U+865C
U-0002F9B5	    U+8667
U-0002F9B6	    U+8669
U-0002F9B7	    U+86A9
U-0002F9B8	    U+8688
U-0002F9B9	    U+870E
U-0002F9BA	    U+86E2
U-0002F9BB	    U+8779
U-0002F9BC	    U+8728
U-0002F9BD	    U+876B
U-0002F9BE	    U+8786
U-0002F9BF	    U+45D7
U-0002F9C0	    U+87E1
U-0002F9C1	    U+8801
U-0002F9C2	    U+45F9
U-0002F9C3	    U+8860
U-0002F9C4	    U+8863
U-0002F9C5	U-00027667
U-0002F9C6	    U+88D7
U-0002F9C7	    U+88DE
U-0002F9C8	    U+4635
U-0002F9C9	    U+88FA
U-0002F9CA	    U+34BB
U-0002F9CB	U-000278AE
U-0002F9CC	U-00027966
U-0002F9CD	    U+46BE
U-0002F9CE	    U+46C7
U-0002F9CF	    U+8AA0
U-0002F9D0	    U+8AED
U-0002F9D1	    U+8B8A
U-0002F9D2	    U+8C55
U-0002F9D3	U-00027CA8
U-0002F9D4	    U+8CAB
U-0002F9D5	    U+8CC1
U-0002F9D6	    U+8D1B
U-0002F9D7	    U+8D77
U-0002F9D8	U-00027F2F
U-0002F9D9	U-00020804
U-0002F9DA	    U+8DCB
U-0002F9DB	    U+8DBC
U-0002F9DC	    U+8DF0
U-0002F9DD	U-000208DE
U-0002F9DE	    U+8ED4
U-0002F9DF	    U+8F38
U-0002F9E0	U-000285D2
U-0002F9E1	U-000285ED
U-0002F9E2	    U+9094
U-0002F9E3	    U+90F1
U-0002F9E4	    U+9111
U-0002F9E5	U-0002872E
U-0002F9E6	    U+911B
U-0002F9E7	    U+9238
U-0002F9E8	    U+92D7
U-0002F9E9	    U+92D8
U-0002F9EA	    U+927C
U-0002F9EB	    U+93F9
U-0002F9EC	    U+9415
U-0002F9ED	U-00028BFA
U-0002F9EE	    U+958B
U-0002F9EF	    U+4995
U-0002F9F0	    U+95B7
U-0002F9F1	U-00028D77
U-0002F9F2	    U+49E6
U-0002F9F3	    U+96C3
U-0002F9F4	    U+5DB2
U-0002F9F5	    U+9723
U-0002F9F6	U-00029145
U-0002F9F7	U-0002921A
U-0002F9F8	    U+4A6E
U-0002F9F9	    U+4A76
U-0002F9FA	    U+97E0
U-0002F9FB	U-0002940A
U-0002F9FC	    U+4AB2
U-0002F9FD	U-00029496
U-0002F9FE	    U+980B
U-0002F9FF	    U+980B
U-0002FA00	    U+9829
U-0002FA01	U-000295B6
U-0002FA02	    U+98E2
U-0002FA03	    U+4B33
U-0002FA04	    U+9929
U-0002FA05	    U+99A7
U-0002FA06	    U+99C2
U-0002FA07	    U+99FE
U-0002FA08	    U+4BCE
U-0002FA09	U-00029B30
U-0002FA0A	    U+9B12
U-0002FA0B	    U+9C40
U-0002FA0C	    U+9CFD
U-0002FA0D	    U+4CCE
U-0002FA0E	    U+4CED
U-0002FA0F	    U+9D67
U-0002FA10	U-0002A0CE
U-0002FA11	    U+4CF8
U-0002FA12	U-0002A105
U-0002FA13	U-0002A20E
U-0002FA14	U-0002A291
U-0002FA15	    U+9EBB
U-0002FA16	    U+4D56
U-0002FA17	    U+9EF9
U-0002FA18	    U+9EFE
U-0002FA19	    U+9F05
U-0002FA1A	    U+9F0F
U-0002FA1B	    U+9F16
U-0002FA1C	    U+9F3B
U-0002FA1D	U-0002A600
